インデックス,グループ,クエリ,タグ,画像
1,『捃拾帖』のなかの東大総長,加藤弘之,chname:加藤弘之,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Kato_Hiroyuki.jpg/400px-Kato_Hiroyuki.jpg
,,山川健次郎,chname:山川健次郎,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Kenjiro_Yamakawa_2.jpg/400px-Kenjiro_Yamakawa_2.jpg
2,『捃拾帖』のなかの歴代総理,伊藤博文,chname:伊藤博文,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/IT%C5%8C_Hirobumi.jpg/440px-IT%C5%8C_Hirobumi.jpg
,,大隈重信,chname:大隈重信,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Shigenobu_Okuma_5.jpg/440px-Shigenobu_Okuma_5.jpg
,,桂太郎,chname:桂太郎,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/11_KatsuraT.jpg/440px-11_KatsuraT.jpg
3,本郷近辺の歴史を知る,本郷（文京区）,place:本郷（文京区）,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/%E6%9D%B1%E4%BA%AC%E5%A4%A7%E5%AD%A6%E6%9C%AC%E9%83%B7%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%91%E3%82%B9%E6%AD%A3%E9%96%80.JPG/540px-%E6%9D%B1%E4%BA%AC%E5%A4%A7%E5%AD%A6%E6%9C%AC%E9%83%B7%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%91%E3%82%B9%E6%AD%A3%E9%96%80.JPG
,,池之端,place:池之端,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/%E3%82%B7%E3%83%86%E3%82%A3%E3%82%BF%E3%83%AF%E3%83%BC%E4%B8%8A%E9%87%8E%E6%B1%A0%E4%B9%8B%E7%AB%AF.jpg/540px-%E3%82%B7%E3%83%86%E3%82%A3%E3%82%BF%E3%83%AF%E3%83%BC%E4%B8%8A%E9%87%8E%E6%B1%A0%E4%B9%8B%E7%AB%AF.jpg
,,湯島切通坂上,place:湯島切通坂上,
,,湯島,place:湯島,
4,捃拾帖から見る東大,帝国大学,org:帝国大学,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/PSM_V64_D470_Imperial_university_of_tokyo.png/500px-PSM_V64_D470_Imperial_university_of_tokyo.png
5,老舗の歴史を見る,帝国ホテル,org:帝国ホテル,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Imperial_Hotel_Tokyo.JPG/460px-Imperial_Hotel_Tokyo.JPG
,,凮月堂,org:凮月堂,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Gaufrette_of_Tokyo_Fugetsudo.jpg/440px-Gaufrette_of_Tokyo_Fugetsudo.jpg
,,三越呉服店,org:三越呉服店,
,,資生堂,org:資生堂,
6,捃拾帖から見る博覧会,内国勧業博覧会,keyword:内国勧業博覧会,
,,博覧会,keyword:博覧会,
,,水産博覧会,keyword:水産博覧会,
,,博覧会事務局,keyword:博覧会事務局,
7,明治スイーツの世界,菓子,keyword:菓子,
,,羊羹,keyword:羊羹,
,,洋菓子,keyword:洋菓子,
,,和菓子,keyword:和菓子,
,,朝鮮飴,keyword:朝鮮飴,
,,ビスケット,keyword:ビスケット,
,,昆布羊羹,keyword:昆布羊羹,
,,栗羊羹,keyword:栗羊羹,
,,和洋菓子,keyword:和洋菓子,
,,翁飴,keyword:翁飴,
,,うばもち,keyword:うばもち,
,,吉備団子,keyword:吉備団子,
